"afraid"	0
8-ball	0
A cucumber beetle	0
A dead person	4
A deaf person	0
A drinking glass	1
A fish hook	0
A glass roof	0
A happy person	0
A loud cry	0
A lyre	4
A marathon runner	0
A naive person	0
A one person chair	4
A person is entertained	2
A road fork	4
A slap	0
A stop watch	1
A stupid person	0
A traffic cop	0
AI	0
ASS	4
Absolut	0
Address labels	4
Afghanistan	0
Africa	4
Airline seats	4
Alabama	4
Alaska	4
Albert Einstein	0
Alcohol	2
Alligators	4
Aluminium	0
America	4
American	4
American flag	0
American football	4
Amount	1
Amphitheatres	4
An annoying person	1
Animal shelter	4
Anime	2
Anthrax	0
Antiseptics	0
Anyon	0
Apple trees	4
Archway	4
Argentina	4
Arizona	4
Arkansa	4
Armenia	0
Art museums	4
Asbestos	0
Asia	4
Aspirin	4
Astronomy	0
Atheism	4
Atlanta	0
Atlantic Ocean	4
Atomic bombs	4
Auckland	0
Austin	0
Australia	4
BBQ	4
Backdrops	4
Badminton	4
Bagels and cream cheese	0
Balcony railings	4
Barack Obama	4
Bartenders	0
Baseball tickets	4
Bath shower	4
Beauty salons	4
Beijing	4
Belt highways	4
Berlin	0
Bermuda	4
Beverage service	4
Bill	4
Bill Clinton	4
Bill Gates	0
Bipeds	4
Birmingham	0
Birth	0
Blood	4
Bluebird	0
Bob	0
Bob Dylan	0
Bob Jones University	4
Bombers	0
Bono	0
Book ends	4
Book pages	1
Boston	4
Boyfriends	0
Brazil	4
Bright colors	0
British Columbia	4
Buddhism	1
Bunny	4
Bus seats	4
Bush	4
C	0
C-clamp	4
CD	4
CDs	4
COBOL	0
CPU	0
CRT	0
Cabriolet	4
Calcium	0
Calendar pads	4
California	4
Cambridge	4
Camels	0
Canada	4
Canon	0
Cappucino	0
Car accident	0
Carbon dioxide	0
Cash register	4
Catherine Havasi	0
Cats and dogs	0
Catwalks	4
Celery	4
Cell biology	0
Chalk boards	0
Chameleons	0
Chapels	4
Checkbook holders	4
Checkups	2
